Toronto	/m/0h7h6	/m/04dpz9r
Minneapolis-St. Paul	/m/0py_0	/m/04dxtm5
Istanbul	/m/09949m	/m/04dpz9y,/m/04dx21x,/m/04dwywg
Pyeongchang	/m/08nvpl0	/m/08nvpky
Quebec City	/m/0pmp2	/m/04dwywb
Helsinki	/m/03khn	/m/04dxtn0
Manchester	/m/052bw	/m/04dx21p
Moscow	/m/04swd	/m/0k8jmd7
New York City	/m/02_286	/m/0k8jmdw
Los Angeles	/m/030qb3t	/m/04dxtlz
Vancouver	/m/080h2	/m/04dwjb3,/m/063x27y
Detroit	/m/02dtg	/m/04dxtlr
Chicago	/m/01_d4	/m/04dxtmm
Salzburg	/m/0b1mf	/m/08nvng7
Beijing	/m/01914	/m/04dx217,/m/04dpzb9
Rome	/m/06c62	/m/08lq3hg
Amsterdam	/m/0k3p	/m/04dx3gg,/m/04dxtmv
Madrid	/m/056_y	/m/0k8jmf9
London	/m/04jpl	/m/0k8jmfr
Buenos Aires	/m/01ly5m	/m/08lq3hx
Åre	/m/03bx2h6	/m/04frxgv
Östersund	/m/02p3hwb	/m/04frxgv,/m/04dwywl
Osaka	/m/0dqyw	/m/04dpzb3
Athens	/m/0n2z	/m/08lq3jb
Philadelphia	/m/0dclg	/m/04dxtmd
Cape Town	/m/01yj2	/m/08lq3hp
Paris	/m/05qtj	/m/0k8jmdp,/m/04dpzb9
Berlin	/m/0156q	/m/04dx21g
Sydney	/m/06y57	/m/04dx210
Stockholm	/m/06mxs	/m/08lq3j3
